1,2-0,4
2,2-0,4
3,2-0,4
1,3-0,3
1,4-0,0
2,4-0,0
1,6-0,0
0,7-0,0
2,8-0,0
3,8-0,0
1,9-0,1
2,9-0,1
2,10-0,0
3,10-0,0
0,11-0,0
3,11-0,0
0,12-0,0
0,13-0,0
1,13-0,0
1,14-0,0
3,14-0,0
1,15-0,0
3,15-0,0
1,16-0,0
3,16-0,0
1,17-0,0
2,18-0,0
2,21-0,0
3,22-0,0
2,23-0,0
2,24-0,0
0,25-0,0
2,26-0,0
3,26-0,0
2,27-0,0
1,27-0,0
1,28-0,0
3,29-0,0
1,31-0,0
1,32-0,0
0,33-0,0
2,33-0,0
3,33-0,0
2,34-0,0
1,34-0,0
1,35-0,0
1,37-0,0
0,38-0,0
2,39-0,0
3,39-0,0
2,40-0,0
0,41-0,0
2,41-0,0
1,40-0,0
0,43-0,0
2,43-0,0
3,43-0,0
2,44-0,0
0,45-0,3
0,46-0,0
0,48-0,0
2,48-0,0
0,50-0,0
2,50-0,0
0,51-0,0
3,50-0,0
0,53-0,0
1,53-0,0
0,57-0,0
3,56-0,1
2,59-0,0
0,63-0,0
2,64-0,0
2,65-0,0
1,64-0,0
3,64-0,0
2,68-0,0
1,67-0,0
2,70-0,0
3,68-0,0
2,71-0,0
3,69-0,0
2,73-0,0
2,0-0,241
1,73-0,0
3,73-0,0
0,0-0,247
2,76-0,0
1,74-0,0
1,0-0,250
3,74-0,0
2,77-0,0
3,0-0,252
0,1-0,245
2,1-0,248
3,1-0,249
1,77-0,0
1,1-0,251
3,78-0,0
0,2-0,251
1,79-0,0
0,3-0,251
2,82-0,0
3,3-0,253
2,3-0,254
3,4-0,252
0,4-0,253
3,5-0,251
1,81-0,0
0,5-0,252
1,5-0,254
2,6-0,252
2,5-0,255
0,6-0,254
3,6-0,255
3,83-0,0
3,7-0,253
1,7-0,255
1,83-0,0
2,7-0,256
0,8-0,256
1,84-0,0
3,85-0,0
1,8-0,257
0,9-0,254
3,9-0,254
0,68-0,67
0,69-0,64
0,10-0,255
3,87-0,0
1,10-0,254
2,11-0,255
2,91-0,0
1,11-0,255
3,89-0,0
2,12-0,255
1,12-0,256
3,12-0,258
3,91-0,0
2,13-0,258
3,13-0,258
0,75-0,60
0,76-0,57
0,78-0,52
3,92-0,0
2,14-0,260
2,96-0,0
3,93-0,0
0,14-0,262
0,15-0,261
2,15-0,262
0,16-0,261
2,16-0,261
2,98-0,0
0,17-0,261
0,18-0,260
