3,0-0,236
1,0-0,236
0,0-0,236
2,0-0,237
1,5-0,218
1,3-0,223
2,4-0,220
1,4-0,220
1,2-0,225
2,3-0,223
3,1-0,228
2,2-0,225
1,1-0,228
2,1-0,228
3,2-0,225
3,3-0,223
3,4-0,220
0,3-0,223
0,4-0,220
0,1-0,228
0,2-0,225
0,5-0,219
0,6-0,217
0,7-0,214
1,6-0,217
1,7-0,214
2,6-0,217
2,5-0,219
3,5-0,219
2,8-0,210
3,6-0,217
3,7-0,214
2,7-0,214
0,8-0,211
1,8-0,211
3,8-0,211
3,9-0,207
0,9-0,208
0,11-0,202
1,9-0,208
1,11-0,202
3,11-0,202
3,10-0,205
0,10-0,205
2,11-0,202
2,10-0,205
2,9-0,208
1,10-0,205
0,12-0,201
0,13-0,197
0,14-0,194
3,12-0,201
1,12-0,201
1,13-0,197
1,14-0,194
3,14-0,194
3,13-0,197
2,14-0,194
2,13-0,197
2,12-0,201
1,17-0,186
0,15-0,192
1,15-0,192
1,16-0,190
3,17-0,186
3,15-0,192
3,16-0,190
0,16-0,190
2,17-0,186
0,17-0,186
2,16-0,190
2,15-0,192
1,18-0,219
2,18-0,219
0,18-0,219
3,18-0,219
1,19-0,217
2,19-0,217
0,19-0,217
3,20-0,215
3,19-0,217
2,22-0,209
2,21-0,213
1,20-0,216
2,20-0,216
1,21-0,213
1,22-0,209
0,22-0,209
0,23-0,206
1,23-0,206
3,22-0,209
3,21-0,212
0,20-0,216
0,21-0,213
2,23-0,207
3,24-0,204
3,25-0,201
2,25-0,201
2,24-0,204
0,24-0,204
0,25-0,201
3,23-0,207
1,24-0,204
1,25-0,201
3,28-0,209
3,27-0,212
3,26-0,215
0,28-0,209
2,28-0,209
2,27-0,212
2,26-0,215
0,26-0,215
0,27-0,212
1,26-0,215
1,27-0,212
1,28-0,209
3,30-0,205
3,29-0,208
0,30-0,205
0,29-0,208
1,29-0,208
1,30-0,205
2,29-0,208
2,30-0,205
3,32-0,209
0,31-0,212
0,32-0,209
3,31-0,212
2,33-0,205
1,31-0,210
2,32-0,209
1,32-0,206
2,31-0,212
0,34-0,203
0,35-0,200
0,36-0,197
3,35-0,200
3,33-0,206
3,34-0,203
0,33-0,206
2,34-0,203
1,33-0,203
3,36-0,197
1,34-0,200
2,35-0,200
0,37-0,195
0,38-0,191
0,39-0,187
1,35-0,198
1,36-0,195
1,37-0,191
3,37-0,195
3,38-0,191
2,38-0,191
2,37-0,195
2,36-0,198
2,42-0,202
1,38-0,212
1,39-0,209
1,40-0,205
3,41-0,205
3,40-0,209
3,39-0,212
2,41-0,205
0,41-0,205
0,40-0,209
2,40-0,209
0,42-0,202
2,39-0,212
1,41-0,203
3,42-0,203
2,45-0,204
1,42-0,209
2,44-0,208
1,43-0,207
2,43-0,210
1,44-0,203
3,46-0,201
3,45-0,204
0,43-0,210
3,44-0,208
0,45-0,204
0,44-0,208
3,43-0,210
2,46-0,210
3,49-0,203
1,45-0,210
3,48-0,206
2,47-0,207
0,46-0,210
0,47-0,207
1,46-0,207
3,47-0,208
2,48-0,204
0,48-0,204
0,49-0,200
1,47-0,204
3,53-0,201
3,51-0,207
3,52-0,205
3,50-0,210
2,52-0,201
0,52-0,201
2,51-0,205
2,49-0,210
2,50-0,207
0,50-0,207
0,51-0,205
1,48-0,210
1,49-0,207
1,50-0,205
1,51-0,201
0,54-0,205
0,53-0,208
3,56-0,200
3,55-0,205
3,54-0,208
1,53-0,205
1,54-0,202
2,55-0,200
2,54-0,205
2,53-0,208
1,52-0,208
3,58-0,195
3,57-0,199
0,55-0,201
0,57-0,196
0,56-0,199
2,57-0,196
2,56-0,199
1,55-0,200
1,56-0,197
0,58-0,213
0,60-0,207
0,59-0,210
0,61-0,204
1,58-0,210
1,59-0,206
2,58-0,213
3,61-0,204
