2,0-0,12
1,1-0,1
3,2-0,0
2,2-0,1
0,3-0,0
1,3-0,0
1,4-0,0
1,5-0,0
2,5-0,1
0,7-0,0
2,8-0,0
3,8-0,0
0,9-0,0
1,10-0,0
2,12-0,0
1,12-0,0
3,13-0,0
0,13-0,0
1,14-0,0
0,15-0,0
2,16-0,0
2,17-0,0
0,17-0,0
1,0-2,233
1,0-1,233
1,0-4,233
1,0-3,233
1,0-0,233
1,0-9,233
1,0-6,233
1,0-5,233
1,0-8,233
1,0-7,233
0,0-1,235
0,0-0,235
0,0-3,235
0,0-2,235
0,0-5,235
0,0-4,235
0,0-7,235
0,0-6,235
0,0-9,235
0,0-8,235
1,20-0,0
3,0-1,237
3,0-2,237
3,0-0,237
3,0-9,237
3,0-7,237
3,0-8,237
3,0-5,237
3,0-6,237
3,0-3,237
3,0-4,237
0,1-4,224
0,1-3,224
0,1-2,224
0,1-1,224
0,1-0,224
0,1-9,224
0,1-8,224
0,1-7,224
0,1-6,224
0,1-5,224
3,1-6,227
3,1-7,227
3,1-8,227
3,1-9,227
3,1-2,227
3,1-3,227
3,1-4,227
3,1-5,227
3,1-0,227
3,1-1,227
2,1-3,227
2,1-4,227
2,1-5,227
2,1-6,227
2,1-7,227
2,1-8,227
2,1-9,227
2,1-0,227
2,1-1,227
2,1-2,227
1,2-1,217
1,2-2,217
1,2-0,217
1,2-5,217
1,2-6,217
1,2-3,217
1,2-4,217
1,2-9,217
1,2-7,217
1,2-8,217
0,2-9,219
0,2-8,219
0,2-5,219
0,2-4,219
0,2-7,219
0,2-6,219
0,2-1,219
0,2-0,219
0,2-3,219
0,2-2,219
1,21-0,0
3,3-9,208
3,3-8,208
3,3-1,208
3,3-0,208
3,3-3,208
3,3-2,208
3,3-5,208
3,3-4,208
3,3-7,208
3,3-6,208
2,3-5,210
2,3-6,210
2,3-7,210
2,3-8,210
2,3-1,210
2,3-2,210
2,3-3,210
2,3-4,210
2,3-9,210
2,3-0,210
3,4-6,210
3,4-5,210
3,4-4,210
3,4-3,210
3,4-2,210
3,4-1,210
3,4-0,210
3,4-9,210
3,4-8,210
3,4-7,210
0,4-3,212
0,4-2,212
0,4-5,212
0,4-4,212
0,4-7,212
0,4-6,212
0,4-9,212
0,4-8,212
0,4-1,212
0,4-0,212
2,4-2,213
2,4-3,213
2,4-0,213
2,4-1,213
2,4-6,213
2,4-7,213
2,4-4,213
2,4-5,213
2,4-8,213
2,4-9,213
1,23-0,0
3,5-3,207
3,5-2,207
3,5-5,207
3,5-4,207
3,5-1,207
3,5-0,207
3,5-7,207
3,5-6,207
3,5-9,207
3,5-8,207
0,5-0,209
0,5-9,209
0,5-1,209
0,5-2,209
0,5-3,209
0,5-4,209
0,5-5,209
0,5-6,209
0,5-7,209
0,5-8,209
2,6-8,203
2,6-9,203
2,6-6,203
2,6-7,203
2,6-4,203
2,6-5,203
2,6-2,203
2,6-3,203
2,6-0,203
2,6-1,203
1,6-9,204
1,6-7,204
1,6-8,204
1,6-1,204
1,6-2,204
1,6-0,204
1,6-5,204
1,6-6,204
1,6-3,204
1,6-4,204
0,6-6,202
0,6-7,202
0,6-4,202
0,6-5,202
0,6-2,202
0,6-3,202
0,6-0,202
0,6-1,202
0,6-8,202
0,6-9,202
3,6-0,204
3,6-4,204
3,6-3,204
3,6-2,204
3,6-1,204
3,6-8,204
3,6-7,204
3,6-6,204
3,6-5,204
3,6-9,204
1,7-6,212
1,7-7,212
1,7-8,212
1,7-9,212
1,7-0,212
1,7-1,212
1,7-2,212
1,7-3,212
1,7-4,212
1,7-5,212
2,7-9,213
2,7-6,213
2,7-5,213
2,7-8,213
2,7-7,213
2,7-2,213
2,7-1,213
2,7-4,213
2,7-3,213
2,7-0,213
3,7-1,214
3,7-0,214
3,7-3,214
3,7-2,214
3,7-5,214
3,7-4,214
3,7-7,214
3,7-6,214
3,7-9,214
3,7-8,214
1,26-0,0
1,27-0,0
2,27-0,0
1,8-3,225
1,8-4,225
1,8-1,225
1,8-2,225
1,8-0,225
1,8-9,225
1,8-7,225
1,8-8,225
1,8-5,225
1,8-6,225
0,8-0,224
0,8-1,224
0,8-4,224
0,8-5,224
0,8-2,224
0,8-3,224
0,8-8,224
0,8-9,224
0,8-6,224
0,8-7,224
2,9-4,217
2,9-3,217
2,9-6,217
2,9-5,217
2,9-8,217
2,9-7,217
2,9-9,217
2,9-0,217
2,9-2,217
2,9-1,217
3,9-7,217
3,9-6,217
3,9-9,217
3,9-8,217
3,9-3,217
3,9-2,217
3,9-5,217
3,9-4,217
3,9-1,217
3,9-0,217
1,9-0,218
1,9-1,218
1,9-2,218
1,9-3,218
1,9-8,218
1,9-9,218
1,9-4,218
1,9-5,218
1,9-6,218
1,9-7,218
2,10-2,212
2,10-1,212
2,10-0,212
2,10-6,212
2,10-5,212
2,10-4,212
2,10-3,212
2,10-9,212
2,10-8,212
2,10-7,212
3,10-0,213
3,10-1,213
3,10-2,213
3,10-3,213
3,10-8,213
3,10-9,213
3,10-4,213
3,10-5,213
3,10-6,213
3,10-7,213
0,10-0,211
0,10-1,211
0,10-2,211
0,10-3,211
0,10-4,211
0,10-5,211
0,10-6,211
0,10-7,211
0,10-8,211
0,10-9,211
2,11-3,206
2,11-2,206
2,11-5,206
2,11-4,206
2,11-7,206
2,11-6,206
2,11-9,206
2,11-8,206
2,11-1,206
2,11-0,206
1,11-0,207
1,11-9,207
1,11-1,207
1,11-2,207
1,11-3,207
1,11-4,207
1,11-5,207
1,11-6,207
1,11-7,207
1,11-8,207
2,29-0,0
3,11-5,208
3,11-6,208
3,11-3,208
3,11-4,208
3,11-9,208
3,11-7,208
3,11-8,208
3,11-1,208
3,11-2,208
3,11-0,208
0,11-8,206
0,11-9,206
0,11-6,206
0,11-7,206
0,11-4,206
0,11-5,206
0,11-2,206
0,11-3,206
0,11-0,206
0,11-1,206
3,12-2,205
3,12-3,205
3,12-4,205
3,12-5,205
3,12-6,205
3,12-7,205
3,12-8,205
3,12-9,205
3,12-0,205
3,12-1,205
0,12-7,204
0,12-8,204
0,12-9,204
0,12-3,204
0,12-4,204
0,12-5,204
0,12-6,204
0,12-0,204
0,12-1,204
0,12-2,204
2,30-0,0
2,13-9,214
2,13-8,214
2,13-5,214
2,13-4,214
2,13-7,214
2,13-6,214
2,13-1,214
2,13-0,214
2,13-3,214
2,13-2,214
1,13-3,214
1,13-4,214
1,13-5,214
1,13-6,214
1,13-0,214
1,13-1,214
1,13-2,214
1,13-7,214
1,13-8,214
1,13-9,214
3,31-0,0
1,32-0,0
2,32-0,0
2,14-9,211
2,14-8,211
2,14-7,211
2,14-2,211
2,14-1,211
2,14-0,211
2,14-6,211
2,14-5,211
2,14-4,211
2,14-3,211
3,14-5,212
3,14-4,212
3,14-7,212
3,14-6,212
3,14-1,212
3,14-0,212
3,14-3,212
3,14-2,212
3,14-9,212
3,14-8,212
0,14-5,210
0,14-6,210
0,14-7,210
0,14-8,210
0,14-9,210
0,14-0,210
0,14-1,210
0,14-2,210
0,14-3,210
0,14-4,210
2,15-7,212
2,15-6,212
2,15-9,212
2,15-8,212
2,15-1,212
2,15-0,212
2,15-3,212
2,15-2,212
2,15-5,212
2,15-4,212
1,15-0,212
1,15-1,212
1,15-2,212
1,15-3,212
1,15-4,212
1,15-5,212
1,15-6,212
1,15-7,212
1,15-8,212
1,15-9,212
3,15-2,213
3,15-1,213
3,15-0,213
3,15-6,213
3,15-5,213
3,15-4,213
3,15-3,213
3,15-9,213
3,15-8,213
3,15-7,213
0,34-0,0
3,16-1,222
3,16-0,222
3,16-3,222
3,16-2,222
3,16-5,222
3,16-4,222
3,16-7,222
3,16-6,222
3,16-9,222
3,16-8,222
1,16-8,222
1,16-9,222
1,16-6,222
1,16-7,222
1,16-4,222
1,16-5,222
1,16-2,222
1,16-3,222
1,16-0,222
1,16-1,222
0,16-0,220
0,16-2,220
0,16-1,220
0,16-8,220
0,16-7,220
0,16-9,220
0,16-4,220
0,16-3,220
0,16-6,220
0,16-5,220
1,17-7,212
1,17-8,212
1,17-9,212
1,17-3,212
1,17-4,212
1,17-5,212
1,17-6,212
1,17-0,212
1,17-1,212
1,17-2,212
3,17-9,212
3,17-8,212
3,17-7,212
3,17-6,212
3,17-5,212
3,17-4,212
3,17-3,212
3,17-2,212
3,17-1,212
3,17-0,212
1,36-0,0
2,18-0,208
2,18-1,208
2,18-2,208
2,18-7,208
2,18-8,208
2,18-9,208
2,18-3,208
2,18-4,208
2,18-5,208
2,18-6,208
1,18-4,206
1,18-5,206
1,18-2,206
1,18-3,206
1,18-8,206
1,18-9,206
1,18-6,206
1,18-7,206
1,18-0,206
1,18-1,206
3,18-9,203
3,18-8,203
3,18-5,203
3,18-4,203
3,18-7,203
3,18-6,203
3,18-1,203
3,18-0,203
3,18-3,203
3,18-2,203
0,18-9,204
0,18-0,204
0,18-2,204
0,18-1,204
0,18-4,204
0,18-3,204
0,18-6,204
0,18-5,204
0,18-8,204
0,18-7,204
0,36-0,0
1,37-0,0
3,37-0,0
2,19-0,216
2,19-1,216
2,19-4,216
2,19-5,216
2,19-2,216
2,19-3,216
2,19-8,216
2,19-9,216
2,19-6,216
2,19-7,216
1,19-1,215
1,19-2,215
1,19-3,215
1,19-4,215
1,19-5,215
1,19-6,215
1,19-7,215
1,19-8,215
1,19-0,215
1,19-9,215
0,37-0,1
3,19-6,222
3,19-5,222
3,19-4,222
3,19-3,222
3,19-9,222
3,19-8,222
3,19-7,222
3,19-2,222
3,19-1,222
3,19-0,222
1,39-0,0
3,38-0,0
0,38-0,0
2,39-0,0
2,20-0,225
2,20-1,225
2,20-2,225
2,20-3,225
2,20-4,225
2,20-5,225
2,20-6,225
2,20-7,225
2,20-8,225
2,20-9,225
3,39-0,0
0,19-9,234
0,19-8,234
0,19-7,234
0,19-6,234
0,19-5,234
0,19-4,234
0,19-3,234
0,19-2,234
0,19-1,234
0,19-0,234
3,20-0,222
3,20-2,222
3,20-1,222
3,20-4,222
3,20-3,222
3,20-6,222
3,20-5,222
3,20-8,222
3,20-7,222
3,20-9,222
2,21-1,217
2,21-2,217
2,21-0,217
2,21-9,217
2,21-7,217
2,21-8,217
2,21-5,217
2,21-6,217
2,21-3,217
2,21-4,217
0,20-7,224
0,20-6,224
0,20-9,224
0,20-8,224
0,20-3,224
0,20-2,224
0,20-5,224
0,20-4,224
0,20-1,224
0,20-0,224
0,21-0,216
0,21-4,216
0,21-3,216
0,21-2,216
0,21-1,216
0,21-8,216
0,21-7,216
0,21-6,216
0,21-5,216
0,21-9,216
3,21-3,217
3,21-2,217
3,21-1,217
3,21-0,217
3,21-9,217
3,21-8,217
3,21-7,217
3,21-6,217
3,21-5,217
3,21-4,217
1,22-0,212
1,22-9,212
1,22-3,212
1,22-4,212
1,22-1,212
1,22-2,212
1,22-7,212
1,22-8,212
1,22-5,212
1,22-6,212
0,40-0,1
2,22-6,217
2,22-7,217
2,22-8,217
2,22-9,217
2,22-2,217
2,22-3,217
2,22-4,217
2,22-5,217
2,22-0,217
2,22-1,217
2,41-0,0
0,22-1,212
0,22-0,212
0,22-3,212
0,22-2,212
0,22-5,212
0,22-4,212
0,22-7,212
0,22-6,212
0,22-9,212
0,22-8,212
3,22-0,214
3,22-2,214
3,22-1,214
3,22-8,214
3,22-7,214
3,22-9,214
3,22-4,214
3,22-3,214
3,22-6,214
3,22-5,214
2,23-3,211
2,23-4,211
2,23-1,211
2,23-2,211
2,23-7,211
2,23-8,211
2,23-5,211
2,23-6,211
2,23-9,211
2,23-0,211
3,41-0,0
2,42-0,0
3,23-1,212
3,23-0,212
3,23-5,212
3,23-4,212
3,23-3,212
3,23-2,212
3,23-9,212
3,23-8,212
3,23-7,212
3,23-6,212
0,23-9,213
0,23-8,213
0,23-7,213
0,23-6,213
0,23-5,213
0,23-4,213
0,23-3,213
0,23-2,213
0,23-1,213
0,23-0,213
1,24-6,211
1,24-5,211
1,24-4,211
1,24-3,211
1,24-2,211
1,24-1,211
1,24-0,211
1,24-9,211
1,24-8,211
1,24-7,211
2,24-0,210
2,24-1,210
2,24-2,210
2,24-3,210
2,24-4,210
2,24-5,210
2,24-6,210
2,24-7,210
2,24-8,210
2,24-9,210
1,43-0,0
2,43-0,0
3,24-9,211
3,24-3,211
3,24-4,211
3,24-1,211
3,24-2,211
3,24-7,211
3,24-8,211
3,24-5,211
3,24-6,211
3,24-0,211
0,24-7,213
0,24-6,213
0,24-9,213
0,24-8,213
0,24-3,213
0,24-2,213
0,24-5,213
0,24-4,213
0,24-1,213
0,24-0,213
1,25-3,210
1,25-2,210
1,25-5,210
1,25-4,210
1,25-1,210
1,25-0,210
1,25-7,210
1,25-6,210
1,25-9,210
1,25-8,210
2,25-9,209
2,25-7,209
2,25-8,209
2,25-5,209
2,25-6,209
2,25-3,209
2,25-4,209
2,25-1,209
2,25-2,209
2,25-0,209
1,44-0,0
0,25-8,210
0,25-7,210
0,25-6,210
0,25-5,210
0,25-9,210
0,25-0,210
0,25-4,210
0,25-3,210
0,25-2,210
0,25-1,210
2,44-0,0
3,25-8,209
3,25-9,209
3,25-0,209
3,25-1,209
